x[m];y[m];operacao;area.total[m2];area.mato[m2];ang.abs[deg];ang.proa[deg];dist[m];rtl[m]
95.40;62.66;p;113.13;7.41;162.21;0.00;9.30;114.13
86.54;59.81;y;30.34;0.00;162.21;-93.21;0.00;105.20
86.54;59.81;p;71.21;0.00;69.00;0.00;5.77;105.20
88.61;54.43;p;70.75;1.88;69.00;0.00;5.77;103.99
90.67;49.04;y;20.25;1.13;69.00;61.88;0.00;103.09
90.67;49.04;p;39.96;0.00;130.88;0.00;3.21;103.09
88.57;46.61;y;16.68;0.05;130.88;-51.36;0.00;100.09
88.57;46.61;p;88.54;0.18;79.52;0.00;7.16;100.09
89.87;39.58;y;5.04;0.00;79.52;-13.79;0.00;98.20
89.87;39.58;p;115.91;1.94;65.73;0.00;9.55;98.20
93.80;30.88;y;25.29;0.49;65.73;78.51;0.00;98.75
93.80;30.88;p;61.67;0.81;144.23;0.00;5.01;98.75
89.73;27.94;p;62.02;1.43;144.23;0.00;5.01;93.98
85.67;25.01;y;35.53;0.40;144.23;-109.21;0.00;89.24
85.67;25.01;p;79.68;0.59;35.02;0.00;6.55;89.24
91.03;21.26;p;80.61;0.27;35.02;0.00;6.55;93.48
96.39;17.50;y;22.01;4.64;35.02;68.14;0.00;97.97
96.39;17.50;p;76.94;3.46;103.16;0.00;6.23;97.97
94.97;11.43;y;11.89;0.00;103.16;-36.57;0.00;95.66
94.97;11.43;p;106.76;5.03;66.59;0.00;8.72;95.66
98.44;3.42;y;36.15;0.62;66.59;112.57;0.00;98.50
98.44;3.42;p;54.80;0.49;179.16;0.00;5.63;98.50
92.81;3.34;p;54.22;0.00;179.16;0.00;5.63;92.87
87.18;3.26;y;16.63;0.66;179.16;50.99;0.00;87.24
87.18;3.26;p;120.14;0.32;-129.84;0.00;9.98;87.24
80.79;10.91;p;121.83;0.00;-129.84;0.00;9.98;81.52
74.40;18.57;p;121.66;0.00;-129.84;0.00;9.98;76.68
68.01;26.23;p;121.82;0.00;-129.84;0.00;9.98;72.89
61.62;33.89;p;121.04;0.00;-129.84;0.00;9.98;70.32
